admin,pass
U001,JFY3TToM
U002,XAcsHOlf
U003,CMMgXiXk
U004,QAlsYHUv
U005,LxhtBdz8
U006,KrmpbUms
U007,CJKCEHaF
U008,7EbDSexf
U009,RMSRFhPK
U010,Zxfcrmp5
U011,Sbvy2ZjF
U012,IjuDMRuO
U013,W71lKO2M
U014,Zgyh0Xpo
U015,5Ex2ujCq
U016,OOTaL1zx
U017,Y6ErjUZ1
U018,T2Sdf58u
U019,7jw21CVv
U020,8Aboqm1h
U021,oZTA5A1h
U022,lrRPapnK
U023,xeSbHivf
U024,BL76IpzR
U025,CxeI7b7m
U026,MxupJsnb
U027,4QLkDIMd
U028,tkS2ZRbw
U029,Ge44MIYM
U030,qcOINhwl
U031,DifhHie2
U032,3HIxONqq
U033,J8cnKuCn
U034,kuK5uxfk
U035,R7fjUAfG
U036,LD1NYgkw
U037,AK8dKeI4
U038,flYXqewc
U039,UyUebwMs
U040,SUScbmYl
U041,PVWzQzmV
U042,VuGAOXFN
U043,ZCndjRZF
U044,SAcxTk1A
U045,dALBtEz1
U046,6Fi2YgIO
U047,jxlaSMNC
U048,8OGhPGOC
U049,pWOZyeKK
U050,wNYV8EiI
